brand,model,year,price,mileage,fuel,location,color,source,crawl_date,url
Ford,Ranger,2015,315000000,123000,Dầu,Đồng Nai,Đỏ,chotot,2026-01-09,https://www.chotot.com/129114296.htm
Ford,Ranger,2017,418000000,110000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/129676026.htm
Ford,Ranger,2017,418000000,110000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/129676026.htm
Other,Other,2022,915000000,4,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/129516915.htm
Mercedes-Benz,Glc,2022,1180000000,59000,Điện,TP.HCM,Đen,chotot,2026-01-09,https://www.chotot.com/129005833.htm
Other,Other,2010,318000000,89000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130027313.htm
Other,Other,2015,555000000,91852,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/124149181.htm
Other,Other,2010,985000000,100,Điện,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/127385877.htm
Chevrolet,Spark,2016,165000000,1,Điện,Cần Thơ,Trắng,chotot,2026-01-09,https://www.chotot.com/126571784.htm
BYD,M6,2025,720000000,28000,Điện,Long An,Đỏ,chotot,2026-01-09,https://www.chotot.com/130183568.htm
MG,Mg5,2022,415000000,15000,Xăng,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130010458.htm
Other,Other,2019,679000000,180000,Dầu,TP.HCM,Đen,chotot,2026-01-09,https://www.chotot.com/129896541.htm
Ford,Everest,2023,1320000000,43000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130183540.htm
Honda,Civic,2018,405000000,100000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/129427428.htm
Other,Other,2004,159000000,123456,Điện,Hà Nội,Đỏ,chotot,2026-01-09,https://www.chotot.com/127417847.htm
Other,Other,2009,245000000,120000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/128980381.htm
Mercedes-Benz,G63,2021,7900000000,22000,Xăng,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/129903644.htm
Mazda,Bt 50,2016,350000000,125000,Dầu,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130183439.htm
VinFast,Vf 5,2027,485000000,0,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/129591595.htm
Other,Other,2011,185000000,230000,Điện,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/130163202.htm
Other,Other,2025,4510000000,0,Điện,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/121537586.htm
Hyundai,Creta,2025,630000000,23218,Điện,Hà Nội,Đỏ,chotot,2026-01-09,https://www.chotot.com/130124655.htm
